word,chunk,postposition,dependency-head,dependency,is_arg,srl,predicate,head-POS
उल्लेखनीय,JJP,0,VGF,k1s,1,ARG2-ATR,VGF.1,adj
है,VGF,है,0,root,0,,,v
कि,CCP,0,NULL__NP,rs,0,,,avy
अक्तूबर,NP,0_को,VGNF,k7t,1,ARGM-TMP,VGNF,n
NULL2,NULL__NP,0,0,root,0,,,NULL
आए,VGNF,या,NP2,nmod__k1inv,0,,,v
भूकंप,NP2,0_के_बाद,VGF2,k7t,1,ARGM-TMP,VGF2,n
जिंदा,JJP2,0,VGNF2,pof,0,,,adj
बचे,VGNF2,या,NP3,nmod__k1inv,0,,,v
लोगों,NP3,0_में,VGF2,k7p,1,ARGM-LOC,VGF2,n
दहशत,NP4,0,VGF2,k1,1,ARG1,VGF2,n
है2,VGF2,है,CCP,ccof,0,,,v
भूकंप,NP,0,VGF,k1,1,ARG1,VGF,n
शनिवार,NP2,0,VGF,k7t,1,ARGM-TMP,VGF,n
मिनट,NP3,0_पर,VGF,k7t,1,ARGM-TMP,VGF,n
आया,VGF,या,0,root,0,,,v
बहरहाल,CCP,0,0,root,0,,,avy
किसी,NP,0_का,JJP,r6-k1,0,,,pn
हताहत,JJP,0,VGNN,pof,0,,,adj
होने,VGNN,ना,CCP2,ccof,0,,,v
और,CCP2,0,NP3,r6,0,,,avy
नुकसान,NP2,0_का,CCP2,ccof,0,,,n
सूचना,NP3,0,VGF,k1,1,ARG1,VGF,n
है,VGF,है,CCP,ccof,0,,,v
प्रधानमंत्री,NP,0_ने,VGF,k1,0,,,n
दिग्गजों,NP2,0_पर,VGF,k7,0,,,n
कर्नाटक,NP3,0_में,VGNN,k7p,0,,,n
कांग्रेस,NP4,0_के_साथ,VGNN,ras-k2,0,,,n
उनकी,NP5,का,NP6,r6,0,,,pn
पार्टी,NP6,0_का,NP7,r6,0,,,n
सरकार,NP7,0_को,VGNN,k2,0,,,n
अस्थिर,JJP,0,VGNN,pof,0,,,adj
करने,VGNN,ना_के_लिए,VGNN2,rt,1,ARGM-PRP,VGNN2,v
अभियान,NP8,0,VGNN2,k2,1,ARG1,VGNN2,n
छेड़ने,VGNN2,ना_का,NP9,r6-k2,0,,,v
आरोप,NP9,0,VGF,pof,0,,,n
लगाया,VGF,या,0,root,0,,,v
आईटी,NP,0,NP2,nmod,0,,,n
२००५,NP2,0_में,VGNN,k7,0,,,n
शामिल,JJP,0,VGNN,pof,0,,,adj
होने,VGNN,ना_का,NP4,nmod,0,,,v
अपनी,NP3,0,NP4,r6,0,,,pn
योजना,NP4,0_में,VGNF,k7,0,,,n
फेरबदल,NP5,0,VGNF,pof,0,,,n
करते,VGNF,ता_हो+एं,VGF,vmod,0,,,v
देवगौड़ा,NP6,0_ने,VGF,k1,0,,,n
आयोजन,NP7,0_का,NP8,r6,0,,,n
मौके,NP8,0_पर,VGF,k7,0,,,n
आरोप,NP9,0,VGF,pof,0,,,n
लगाया,VGF,या,0,root,0,,,v
कि,CCP,0,VGF,k2,0,,,avy
क्षेत्र,NP10,0_का,NP11,r6,0,,,n
धड़े,NP11,0_ने,VGF2,k1,1,ARG0,VGF2,n
सरकार,NP12,0_का,NP13,r6,0,,,n
सत्ता,NP13,0_में,VGNN2,k7,1,ARGM-LOC,VGNN2,n
आने,VGNN2,ना_के_बाद,VGF2,k7t,1,ARGM-TMP,VGF2,v
दो,NP14,0,CCP2,ccof,0,,,num
या,CCP2,0,VGF2,k7t,1,ARGM-TMP,VGF2,avy
महीनों,NP15,0_से,CCP2,ccof,0,,,n
अभियान,NP16,0,VGF2,k2,1,ARG1,VGF2,n
छेड़,VGF2,0_रख+या_है,CCP,ccof,0,,,v
कहा,VGF,या_जा_रह+या_है,0,root,0,,,v
कि,CCP,0,VGF,k2,1,ARG1,VGF,avy
कंपनियां,NP,0,VGF2,k1,1,ARG0,VGF2,n
ढांचे,NP2,0_का,NP3,r6,0,,,n
कमी,NP3,0_का,NP4,r6,0,,,n
वजह,NP4,0_से,VGF2,rh,1,ARGM-CAU,VGF2,n
NULL2,NULL__NP,0,0,root,0,,,NULL
बंगलोर,NP5,0,VGNF,k2p,1,ARG1,VGNF,n
छोड़,VGNF,0_कर,VGF2,vmod,1,ARG2-GOL,VGF2,v
जा2,VGF2,0_रह+या_है,CCP,ccof,0,,,v
दिन,NP,0_का,NP2,r6,0,,,n
आयोजन,NP2,0_में,VGF,k7,0,,,n
तौर,NP3,0_का_पर,JJP,jjmod,0,,,n
मौजूद,JJP,0,NP4,nmod,0,,,adj
देवगौड़ा,NP4,0_ने,VGF,k1,1,ARG0,VGNN,n
धड़े,NP5,0_पर,VGF,k7,0,,,n
सरकार,NP6,0_के_बारे_में,VGNN,k2,1,ARGM-MNR,VGNN,n
प्रभाव,NP7,0,VGNN,k2s,1,ARG1,VGNN,n
बनाने,VGNN,ना_का,NP8,r6-k2,0,,,v
आरोप,NP8,0,VGF,pof,0,,,n
लगाया,VGF,या,0,root,0,,,v
सरकार,NP,0_का,NP2,r6,0,,,n
भूमिका,NP2,0,VGNF,k2,1,ARG1,VGNF,n
अपनाते,VGNF,ता_हो+एं,NP4,nmod__k1inv,0,,,v
झारखंड,NP3,0_में,VGNF,k7p,1,ARGM-LOC,VGNF,n
छापामारों,NP4,0_का,VGF,k1,1,ARG0,VGF,n
कहना,VGF,ना_है,0,root,0,,,v
कि,CCP,0,VGF,k2,1,ARG1,VGF,avy
वे,NP5,0,VGF2,k1,1,ARG0,VGF2,pn
जल्द,RBP,0,VGF2,adv,1,ARGM-TMP,VGF2,adv
राज्य,NP6,0_में,VGF2,k7p,1,ARGM-LOC,VGF2,n
चुनाव,NP7,0,VGF2,k2,1,ARG1,VGF2,n
कराएंगे,VGF2,गा,CCP,ccof,0,,,v
गौरतलब,JJP,0,VGF,k1s,1,ARG2-ATR,VGF,adj
है,VGF,है,0,root,0,,,v
कि,CCP,0,NULL__NP,rs,0,,,avy
झारखंड,NP,0_में,VGF2,k7p,1,ARGM-LOC,VGF2,n
वर्षो,NP2,0_से,VGF2,k7t,1,ARGM-EXT,VGF2,n
चुनाव,NP3,0,VGF2,k1,1,ARG1,VGF2,n
हुए,VGF2,या_है,CCP,ccof,0,,,v
माओवादियों,NP,0_ने,VGF,k1,1,ARG0,VGF,n
निर्णय,NP2,0,VGF,k2,1,ARG1,VGF,n
सप्ताह,NP3,0,VGNF,k7t,1,ARGM-TMP,VGNF,n
धनबाद,NP4,0_में,VGNF,k7p,1,ARGM-LOC,VGNF,n
हुई,VGNF,एं,NP7,nmod__k1inv,0,,,v
अपनी,NP5,0,NP6,r6,0,,,pn
कमेटी,NP6,0_का,NP7,r6,0,,,n
बैठक,NP7,0_में,VGF,k7,1,ARGM-LOC,VGF,n
लिया,VGF,या,0,root,0,,,v
माओवादियों,NP,0_से,VGNN,ras-k1,1,ARGM-MNR,VGNN,n
संबंध,NP2,0,VGNN,k2,1,ARG1,VGNN,n
रखने,VGNN,ना_वाला,NP3,nmod__k1inv,0,,,v
सूत्र,NP3,0_ने,VGF,k1,1,ARG0,VGNN,n
बताया,VGF,या_है,0,root,0,,,v
कि,CCP,0,VGF,k2,1,ARG1,VGF,avy
माओवादी,NP4,0,VGF2,k1,1,ARG0,VGF2,n
यह,NP5,0,VGF2,k2,1,ARG1,VGF2,pn
मानते,VGF2,ता_है,CCP,ccof,0,,,v
कि2,CCP2,0,NP5,rs,0,,,avy
चुनाव,NP6,0_से,VGF3,k3,0,,,n
झारखंड,NP7,0_में,VGF3,k7p,0,,,n
लोगों,NP8,0_के_बीच,VGF3,k7,0,,,n
विवाद,NP9,0,CCP3,ccof,0,,,n
एवं,CCP3,0,VGF3,k1,0,,,avy
मतभेद,NP10,0,CCP3,ccof,0,,,n
दूर,NP11,0,VGF3,pof,0,,,nst
होंगे,VGF3,गा,CCP2,ccof,0,,,v
सूत्रों,NP,0_के_अनुसार,CCP,k7,0,,,n
माओवादियों,NP2,0_ने,VGF,k1,1,ARG0,VGF,n
राज्य,NP3,0_में,VGNN,k7p,1,ARGM-LOC,VGNN,n
चरणों,NP4,0_में,VGNN,k7,1,ARGM-LOC,VGNN,n
चुनाव,NP5,0,VGNN,k2,1,ARG1,VGNN,n
कराने,VGNN,ना_का,NP6,r6,0,,,v
निर्णय,NP6,0,VGF,k2,1,ARG1,VGF,n
लिया,VGF,या_है,CCP,ccof,0,,,v
लेकिन,CCP,0,0,root,0,,,avy
यह,NP7,0,VGF2,k1,1,ARG1,VGF2,pn
आयोग,NP8,0_द्वारा,VGNN2,k1,1,ARG0,VGNN2,n
NULL2,NULL__NP,0,0,root,0,,,NULL
कराए,VGNN2,एं_जान+ना_वाला,NP9,nmod__k2inv,0,,,v
चुनाव3,NP9,0_के_समान,VGF2,k1u,1,ARG1,VGNN2,n
होगा,VGF2,गा,CCP,ccof,0,,,v
माओवादियों,NP,0_ने,VGF,k1,1,ARG0,VGF,n
कहा,VGF,या_है,0,root,0,,,v
कि,CCP,0,VGF,k2,1,ARG1,VGF,avy
संबंध,NP2,0_में,VGF2,k7,1,ARGM-LOC,VGF2,n
जानकारी,NP3,0,VGF2,k2,1,ARG1,VGF2,n
बाद,NP4,0_में,VGF2,k7t,1,ARGM-TMP,VGF2,nst
दी,VGF2,या_जा+गा,CCP,ccof,0,,,v
अभियान,NP,0_में,VGNF,k7,1,ARG1,VGNF,n
लगे,VGNF,एं,NP3,nmod__k1inv,0,,,v
झारखंड,NP2,0_का,NP3,r6,0,,,n
अधिकारी,NP3,0_ने,VGF,k1,1,ARG0,VGNF,n
माओवादियों,NP4,0_का,NP5,r6,0,,,n
निर्णय,NP5,0_पर,VGNF2,k7,0,,,n
प्रतिक्रिया,NP6,0,VGNF2,k2,0,,,n
व्यक्त,JJP,0,VGNF2,pof,0,,,adj
करते,VGNF2,ता_हो+एं,VGF,vmod,1,ARGM-MNR,VGF,v
कहा,VGF,या,0,root,0,,,v
कि,CCP,0,VGF,k2,1,ARG1,VGF,avy
यह,NP7,0,VGF2,k1,0,,,pn
राज्य,NP8,0_का,NP9,r6,0,,,n
गरीबों,NP9,0_को,VGNN,k2,1,ARG1,VGNN,n
माओवादियों2,NP10,0_द्वारा,VGNN,k1,1,ARG0,VGNN,n
लुभाने,VGNN,ना_का,NP11,r6-k2,0,,,v
प्रयास,NP11,0,VGF2,pof,0,,,n
है,VGF2,है,CCP,ccof,0,,,v
माओवादियों,NP,0_का,NP2,r6,0,,,n
कदम,NP2,0_को,VGNN,k2,0,,,n
नाकाम,JJP,0,VGNN,pof,0,,,adj
करने,VGNN,ना_के_लिए,VGF,rt,1,ARGM-PRP,VGF,v
सरकार,NP3,0_को,VGF,k1,1,ARG0,VGF,n
चाहिए,VGF,0,0,root,0,,,v
कि,CCP,0,VGF,k2,1,ARG1,VGF,avy
वह,NP4,0,VGF2,k1,0,,,pn
राज्य2,NP5,0_में,VGF2,k7p,0,,,n
जल्द2,RBP,0,VGF2,adv,0,,,adv
चुनाव,NP6,0,VGF2,pof,0,,,n
कराए,VGF2,या,CCP,ccof,0,,,v
गौरतलब,JJP,0,VGF,k1s,1,ARG2-ATR,VGF,adj
है,VGF,है,0,root,0,,,v
कि,CCP,0,NULL__NP,rs,0,,,avy
झारखंड,NP,0,VGF2,k1,0,,,n
२०००,NP2,0_में,VGF2,k7t,0,,,n
बिहार,NP3,0_से,VGF2,k5,0,,,n
अलग,JJP2,0,VGF2,pof,0,,,adj
हो,VGF2,0_जा+या१_था,CCP,ccof,0,,,v
बिहार,NP,0_ने,VGF,k1,0,,,n
जहां,NP2,0,VGF,vmod,0,,,pn
२००१,NP3,0_में,VGF,k7,0,,,n
चुनाव,NP4,0,VGF,k2,0,,,n
संपन्न,JJP,0,VGF,pof,0,,,adj
कराए,VGF,या_था,CCP,ccof,0,,,v
लेकिन,CCP,0,0,root,0,,,avy
झारखंड,NP5,0_में,VGF2,k7p,1,ARGM-LOC,VGF2,n
संबंध,NP6,0_में,VGF2,k7,1,ARGM-LOC,VGF2,n
कदम,NP7,0,VGF2,k2,1,ARG1,VGF2,n
उठाया,VGF2,या_जा+या१_था,CCP,ccof,0,,,v
गौरतलब,JJP,0,VGF,k1s,1,ARG2-ATR,VGF,adj
