word,chunk,postposition,head-postag,dependency,is_arg,srl,predicate
उल्लेखनीय,JJP,0,VGF,k1s,1,ARG2-ATR,VGF.1
है,VGF,है,0,root,0,,
कि,CCP,0,NULL__NP,rs,0,,
अक्तूबर,NP,0_को,VGNF,k7t,1,ARGM-TMP,VGNF
NULL2,NULL__NP,0,0,root,0,,
आए,VGNF,या,NP2,nmod__k1inv,0,,
भूकंप,NP2,0_के_बाद,VGF2,k7t,1,ARGM-TMP,VGF2
जिंदा,JJP2,0,VGNF2,pof,0,,
बचे,VGNF2,या,NP3,nmod__k1inv,0,,
लोगों,NP3,0_में,VGF2,k7p,1,ARGM-LOC,VGF2
दहशत,NP4,0,VGF2,k1,1,ARG1,VGF2
है2,VGF2,है,CCP,ccof,0,,
भूकंप,NP,0,VGF,k1,1,ARG1,VGF
शनिवार,NP2,0,VGF,k7t,1,ARGM-TMP,VGF
मिनट,NP3,0_पर,VGF,k7t,1,ARGM-TMP,VGF
आया,VGF,या,0,root,0,,
बहरहाल,CCP,0,0,root,0,,
किसी,NP,0_का,JJP,r6-k1,0,,
हताहत,JJP,0,VGNN,pof,0,,
होने,VGNN,ना,CCP2,ccof,0,,
और,CCP2,0,NP3,r6,0,,
नुकसान,NP2,0_का,CCP2,ccof,0,,
सूचना,NP3,0,VGF,k1,1,ARG1,VGF
है,VGF,है,CCP,ccof,0,,
प्रधानमंत्री,NP,0_ने,VGF,k1,0,,
दिग्गजों,NP2,0_पर,VGF,k7,0,,
कर्नाटक,NP3,0_में,VGNN,k7p,0,,
कांग्रेस,NP4,0_के_साथ,VGNN,ras-k2,0,,
उनकी,NP5,का,NP6,r6,0,,
पार्टी,NP6,0_का,NP7,r6,0,,
सरकार,NP7,0_को,VGNN,k2,0,,
अस्थिर,JJP,0,VGNN,pof,0,,
करने,VGNN,ना_के_लिए,VGNN2,rt,1,ARGM-PRP,VGNN2
अभियान,NP8,0,VGNN2,k2,1,ARG1,VGNN2
छेड़ने,VGNN2,ना_का,NP9,r6-k2,0,,
आरोप,NP9,0,VGF,pof,0,,
लगाया,VGF,या,0,root,0,,
आईटी,NP,0,NP2,nmod,0,,
२००५,NP2,0_में,VGNN,k7,0,,
शामिल,JJP,0,VGNN,pof,0,,
होने,VGNN,ना_का,NP4,nmod,0,,
अपनी,NP3,0,NP4,r6,0,,
योजना,NP4,0_में,VGNF,k7,0,,
फेरबदल,NP5,0,VGNF,pof,0,,
करते,VGNF,ता_हो+एं,VGF,vmod,0,,
देवगौड़ा,NP6,0_ने,VGF,k1,0,,
आयोजन,NP7,0_का,NP8,r6,0,,
मौके,NP8,0_पर,VGF,k7,0,,
आरोप,NP9,0,VGF,pof,0,,
लगाया,VGF,या,0,root,0,,
कि,CCP,0,VGF,k2,0,,
क्षेत्र,NP10,0_का,NP11,r6,0,,
धड़े,NP11,0_ने,VGF2,k1,1,ARG0,VGF2
सरकार,NP12,0_का,NP13,r6,0,,
सत्ता,NP13,0_में,VGNN2,k7,1,ARGM-LOC,VGNN2
आने,VGNN2,ना_के_बाद,VGF2,k7t,1,ARGM-TMP,VGF2
दो,NP14,0,CCP2,ccof,0,,
या,CCP2,0,VGF2,k7t,1,ARGM-TMP,VGF2
महीनों,NP15,0_से,CCP2,ccof,0,,
अभियान,NP16,0,VGF2,k2,1,ARG1,VGF2
छेड़,VGF2,0_रख+या_है,CCP,ccof,0,,
कहा,VGF,या_जा_रह+या_है,0,root,0,,
कि,CCP,0,VGF,k2,1,ARG1,VGF
कंपनियां,NP,0,VGF2,k1,1,ARG0,VGF2
ढांचे,NP2,0_का,NP3,r6,0,,
कमी,NP3,0_का,NP4,r6,0,,
वजह,NP4,0_से,VGF2,rh,1,ARGM-CAU,VGF2
NULL2,NULL__NP,0,0,root,0,,
बंगलोर,NP5,0,VGNF,k2p,1,ARG1,VGNF
छोड़,VGNF,0_कर,VGF2,vmod,1,ARG2-GOL,VGF2
जा2,VGF2,0_रह+या_है,CCP,ccof,0,,
दिन,NP,0_का,NP2,r6,0,,
आयोजन,NP2,0_में,VGF,k7,0,,
तौर,NP3,0_का_पर,JJP,jjmod,0,,
मौजूद,JJP,0,NP4,nmod,0,,
देवगौड़ा,NP4,0_ने,VGF,k1,1,ARG0,VGNN
धड़े,NP5,0_पर,VGF,k7,0,,
सरकार,NP6,0_के_बारे_में,VGNN,k2,1,ARGM-MNR,VGNN
प्रभाव,NP7,0,VGNN,k2s,1,ARG1,VGNN
बनाने,VGNN,ना_का,NP8,r6-k2,0,,
आरोप,NP8,0,VGF,pof,0,,
लगाया,VGF,या,0,root,0,,
सरकार,NP,0_का,NP2,r6,0,,
भूमिका,NP2,0,VGNF,k2,1,ARG1,VGNF
अपनाते,VGNF,ता_हो+एं,NP4,nmod__k1inv,0,,
झारखंड,NP3,0_में,VGNF,k7p,1,ARGM-LOC,VGNF
छापामारों,NP4,0_का,VGF,k1,1,ARG0,VGF
कहना,VGF,ना_है,0,root,0,,
कि,CCP,0,VGF,k2,1,ARG1,VGF
वे,NP5,0,VGF2,k1,1,ARG0,VGF2
जल्द,RBP,0,VGF2,adv,1,ARGM-TMP,VGF2
राज्य,NP6,0_में,VGF2,k7p,1,ARGM-LOC,VGF2
चुनाव,NP7,0,VGF2,k2,1,ARG1,VGF2
कराएंगे,VGF2,गा,CCP,ccof,0,,
गौरतलब,JJP,0,VGF,k1s,1,ARG2-ATR,VGF
है,VGF,है,0,root,0,,
कि,CCP,0,NULL__NP,rs,0,,
झारखंड,NP,0_में,VGF2,k7p,1,ARGM-LOC,VGF2
वर्षो,NP2,0_से,VGF2,k7t,1,ARGM-EXT,VGF2
चुनाव,NP3,0,VGF2,k1,1,ARG1,VGF2
हुए,VGF2,या_है,CCP,ccof,0,,
माओवादियों,NP,0_ने,VGF,k1,1,ARG0,VGF
निर्णय,NP2,0,VGF,k2,1,ARG1,VGF
सप्ताह,NP3,0,VGNF,k7t,1,ARGM-TMP,VGNF
धनबाद,NP4,0_में,VGNF,k7p,1,ARGM-LOC,VGNF
हुई,VGNF,एं,NP7,nmod__k1inv,0,,
अपनी,NP5,0,NP6,r6,0,,
कमेटी,NP6,0_का,NP7,r6,0,,
बैठक,NP7,0_में,VGF,k7,1,ARGM-LOC,VGF
लिया,VGF,या,0,root,0,,
माओवादियों,NP,0_से,VGNN,ras-k1,1,ARGM-MNR,VGNN
संबंध,NP2,0,VGNN,k2,1,ARG1,VGNN
रखने,VGNN,ना_वाला,NP3,nmod__k1inv,0,,
सूत्र,NP3,0_ने,VGF,k1,1,ARG0,VGNN
बताया,VGF,या_है,0,root,0,,
कि,CCP,0,VGF,k2,1,ARG1,VGF
माओवादी,NP4,0,VGF2,k1,1,ARG0,VGF2
यह,NP5,0,VGF2,k2,1,ARG1,VGF2
मानते,VGF2,ता_है,CCP,ccof,0,,
कि2,CCP2,0,NP5,rs,0,,
चुनाव,NP6,0_से,VGF3,k3,0,,
झारखंड,NP7,0_में,VGF3,k7p,0,,
लोगों,NP8,0_के_बीच,VGF3,k7,0,,
विवाद,NP9,0,CCP3,ccof,0,,
एवं,CCP3,0,VGF3,k1,0,,
मतभेद,NP10,0,CCP3,ccof,0,,
दूर,NP11,0,VGF3,pof,0,,
होंगे,VGF3,गा,CCP2,ccof,0,,
सूत्रों,NP,0_के_अनुसार,CCP,k7,0,,
माओवादियों,NP2,0_ने,VGF,k1,1,ARG0,VGF
राज्य,NP3,0_में,VGNN,k7p,1,ARGM-LOC,VGNN
चरणों,NP4,0_में,VGNN,k7,1,ARGM-LOC,VGNN
चुनाव,NP5,0,VGNN,k2,1,ARG1,VGNN
कराने,VGNN,ना_का,NP6,r6,0,,
निर्णय,NP6,0,VGF,k2,1,ARG1,VGF
लिया,VGF,या_है,CCP,ccof,0,,
लेकिन,CCP,0,0,root,0,,
यह,NP7,0,VGF2,k1,1,ARG1,VGF2
आयोग,NP8,0_द्वारा,VGNN2,k1,1,ARG0,VGNN2
NULL2,NULL__NP,0,0,root,0,,
कराए,VGNN2,एं_जान+ना_वाला,NP9,nmod__k2inv,0,,
चुनाव3,NP9,0_के_समान,VGF2,k1u,1,ARG1,VGNN2
होगा,VGF2,गा,CCP,ccof,0,,
माओवादियों,NP,0_ने,VGF,k1,1,ARG0,VGF
कहा,VGF,या_है,0,root,0,,
कि,CCP,0,VGF,k2,1,ARG1,VGF
संबंध,NP2,0_में,VGF2,k7,1,ARGM-LOC,VGF2
जानकारी,NP3,0,VGF2,k2,1,ARG1,VGF2
बाद,NP4,0_में,VGF2,k7t,1,ARGM-TMP,VGF2
दी,VGF2,या_जा+गा,CCP,ccof,0,,
अभियान,NP,0_में,VGNF,k7,1,ARG1,VGNF
लगे,VGNF,एं,NP3,nmod__k1inv,0,,
झारखंड,NP2,0_का,NP3,r6,0,,
अधिकारी,NP3,0_ने,VGF,k1,1,ARG0,VGNF
माओवादियों,NP4,0_का,NP5,r6,0,,
निर्णय,NP5,0_पर,VGNF2,k7,0,,
प्रतिक्रिया,NP6,0,VGNF2,k2,0,,
व्यक्त,JJP,0,VGNF2,pof,0,,
करते,VGNF2,ता_हो+एं,VGF,vmod,1,ARGM-MNR,VGF
कहा,VGF,या,0,root,0,,
कि,CCP,0,VGF,k2,1,ARG1,VGF
यह,NP7,0,VGF2,k1,0,,
राज्य,NP8,0_का,NP9,r6,0,,
गरीबों,NP9,0_को,VGNN,k2,1,ARG1,VGNN
माओवादियों2,NP10,0_द्वारा,VGNN,k1,1,ARG0,VGNN
लुभाने,VGNN,ना_का,NP11,r6-k2,0,,
प्रयास,NP11,0,VGF2,pof,0,,
है,VGF2,है,CCP,ccof,0,,
माओवादियों,NP,0_का,NP2,r6,0,,
कदम,NP2,0_को,VGNN,k2,0,,
नाकाम,JJP,0,VGNN,pof,0,,
करने,VGNN,ना_के_लिए,VGF,rt,1,ARGM-PRP,VGF
सरकार,NP3,0_को,VGF,k1,1,ARG0,VGF
चाहिए,VGF,0,0,root,0,,
कि,CCP,0,VGF,k2,1,ARG1,VGF
वह,NP4,0,VGF2,k1,0,,
राज्य2,NP5,0_में,VGF2,k7p,0,,
जल्द2,RBP,0,VGF2,adv,0,,
चुनाव,NP6,0,VGF2,pof,0,,
कराए,VGF2,या,CCP,ccof,0,,
गौरतलब,JJP,0,VGF,k1s,1,ARG2-ATR,VGF
है,VGF,है,0,root,0,,
कि,CCP,0,NULL__NP,rs,0,,
झारखंड,NP,0,VGF2,k1,0,,
२०००,NP2,0_में,VGF2,k7t,0,,
बिहार,NP3,0_से,VGF2,k5,0,,
अलग,JJP2,0,VGF2,pof,0,,
हो,VGF2,0_जा+या१_था,CCP,ccof,0,,
बिहार,NP,0_ने,VGF,k1,0,,
जहां,NP2,0,VGF,vmod,0,,
२००१,NP3,0_में,VGF,k7,0,,
चुनाव,NP4,0,VGF,k2,0,,
संपन्न,JJP,0,VGF,pof,0,,
कराए,VGF,या_था,CCP,ccof,0,,
लेकिन,CCP,0,0,root,0,,
झारखंड,NP5,0_में,VGF2,k7p,1,ARGM-LOC,VGF2
संबंध,NP6,0_में,VGF2,k7,1,ARGM-LOC,VGF2
कदम,NP7,0,VGF2,k2,1,ARG1,VGF2
उठाया,VGF2,या_जा+या१_था,CCP,ccof,0,,
गौरतलब,JJP,0,VGF,k1s,1,ARG2-ATR,VGF
है,VGF,है,0,root,0,,
कि,CCP,0,NULL__NP,rs,0,,
राज्य,NP,0_में,VGNN,k7p,0,,
पंचायतों,NP2,0_का,NP3,r6-k1,0,,
गठन,NP3,0,VGNN,pof,0,,
होने,VGNN,ना_के_कारण,VGF2,rt,0,,
सरकार,NP4,0_द्वारा,VGNN2,k1,1,ARG0,VGNN2
NULL2,NULL__NP,0,0,root,0,,
